Registrar Name;RAA;;;Country;Accredited TLDs
Chengdu Fly-Digital Technology Co., Ltd.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Chengdu West Dimension Digital Technology Co., Ltd.;2009;1;;China;.asia .biz .com .info .mobi .name .net .org
China Organizational Name Administration Center (CONAC);2009;1;;China;.asia .biz .com .info .mobi .name .net .org .pro
China Springboard, Inc.;2009;1;;China;.asia .biz .com .info .mobi .name .net .org .pro
ChinaNet Technology (SuZhou) CO., LTD;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
eName Pty Ltd.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
eName Technology Co., Ltd.;2009;1;;China;.asia .biz .cat .com .info .mobi .name .net .org .pro
Foshan YiDong Network Co., LTD;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Fujian Litian Network Technology Co.,Ltd;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Guangdong JinWanBang Technology Investment Co., Ltd.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Guangzhou Ehost Tech. Co. Ltd.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Guangzhou Ming Yang Information Technology Co., Ltd;2009;1;;China;.asia .biz .com .info .mobi .name .net .org .pro
Hangzhou AiMing Network Co., LTD;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Hangzhou Duomai E-Commerce Co., Ltd;2009;1;;China;.com .net .org
Hangzhou E-Business Services Co., Ltd.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Hebei Guoji Maoyi (Shanghai) LTD dba HebeiDomains.com;2001;1;;China;.asia .biz .com .info .net .org
HiChina Chengdu Zhicheng Technology Ltd.;2009;1;;China;.asia .biz .com .info .mobi .name .net .org .tel
HiChina Zhicheng Technology Limited;2009;1;;China;.asia .biz .com .info .mobi .name .net .org .tel
HooYoo Information Technology Co. Ltd.;2009;1;;China;.biz .com .info .name .net .org .pro
Jiangsu Bangning Science & technology Co. Ltd.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
MAFF Inc.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Media Elite Holdings Limited;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Nanjing Imperiosus Technology Co. Ltd.;2009;1;;China;.asia .biz .com .info .mobi .name .net .org .pro
Ourdomains Limited;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
PocketDomain.com Inc.;2009;1;;China;.biz .com .info .mobi .name .net .org .pro
Premierename.ca Inc.;2009;1;;China;.asia .biz .com .info .mobi .name .net .org .xxx
Shanghai Best Oray Information S&T Co., Ltd.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Shanghai Meicheng Technology Information Development Co., Ltd.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Shanghai Oweb Network Co., Ltd;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Shanghai Yovole Networks, Inc.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Threadagent.com, Inc.;2009;1;;China;.biz .com .info .name .net .org .pro
Todaynic.com, Inc.;2009;1;;China;.aero .asia .biz .cat .com .coop .info .mobi .museum .name .net .org .pro .tel .travel
Tong Ji Ming Lian (Beijing) Technology Corporation Ltd. (Trename);2009;1;;China;.tel
Xiamen ChinaSource Internet Service Co., Ltd;2009;1;;China;.biz .com .info .mobi .name .net .org .pro
Xiamen Nawang Technology Co., Ltd;2009;1;;China;.com .net
Xin Net Technology Corporation;2009;1;;China;.asia .biz .com .coop .info .jobs .mobi .name .net .org .pro .tel .travel
ZhuHai NaiSiNiKe Information Technology Co Ltd.;2009;1;;China;.asia .biz .com .info .mobi .name .net .org .tel .xxx
CCI REG S.A.;2009;1;1;Colombia;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
TOGLODO S.A.;2009;1;1;Costa Rica;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
Gransy, s.r.o. d/b/a subreg.cz;2009;1;1;Czech Republic;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Ascio Technologies, Inc. - Denmark;2009;1;4;Denmark;.aero .asia .biz .cat .com .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
DanDomain A/S;2009;1;;Denmark;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Larsen Data ApS;2009;1;;Denmark;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
One.com A/S;2009;1;;Denmark;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
NeoNIC OY;2001;1;1;Finland;.biz .com .info .net .org
AB CONNECT SARL;2009;1;18;France;.asia .biz .com .info .name .net .org .pro .xxx
Acropolis Telecom SARL;2009;1;;France;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel
BDL Systemes SAS dba ProDomaines;2009;1;;France;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
ELB Group Inc;2009;1;;France;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
France Telecom SA;2009;1;;France;.biz .com .info .name .net .org .pro
French Connexion SARL dba Domaine.fr;2009;1;;France;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Gandi SAS;2009;1;;France;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Groupe MIT SARL;2009;1;;France;.biz .com .info .net .org
Hogan Lovells International LLP;2009;1;;France;.com
Ligne Web Services SARL;2009;1;;France;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Mailclub SAS;2009;1;;France;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
Mister Name SARL;2009;1;;France;.biz .com .info .name .net .org .pro
Nameshield SAS;2009;1;;France;.asia .biz .com .info .net .org .tel
NETIM SARL;2009;1;;France;.aero .asia .biz .cat .com .coop .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
Nordnet SA;2009;1;;France;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
Online SAS;2009;1;;France;.asia .biz .com .info .mobi .name .net .org .pro .tel .xxx
OVH sas;2009;1;;France;.aero .asia .biz .cat .com .coop .info .jobs .mobi .museum .name .net .org .pro .tel .travel .xxx
SARL VIADUC;2009;1;;France;.asia .biz .com .info .mobi .name .net .org .pro .tel
1&1 Internet AG;2009;1;23;Germany;.asia .biz .cat .com .info .mobi .name .net .org
1API GmbH;2009;1;;Germany;.aero .asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
CPS-Datensysteme GmbH;2009;1;;Germany;.aero .asia .biz .com .info .jobs .mobi .name .net .org .pro .tel .travel .xxx
Cronon AG;2009;1;;Germany;.biz .com .info .mobi .name .net .org .pro .tel
